,precipitation,potential_evapotranspiration,river_discharge,precipitation_vmm_catchment
2009-01-01,0.0,0.27,0.704,0.0
2009-01-02,0.0,0.5,0.697,0.03
2009-01-03,0.0,0.06,0.701,0.01
2009-01-04,0.0,0.5,0.71,0.02
2009-01-05,3.1138887549317342,0.43,0.72,1.67
2009-01-06,0.0,0.03,0.689,0.02
2009-01-07,0.13405551919575642,0.17,0.657,0.22
2009-01-08,0.0,0.05,0.646,0.02
2009-01-09,0.0,0.0,0.651,0.0
2009-01-10,0.0,0.0,0.617,0.01
2009-01-11,0.0,0.2,0.527,0.0
2009-01-12,1.4425553297420661,0.84,0.643,0.82
2009-01-13,8.4452770792869,0.24,1.91,8.26
2009-01-14,0.10583330462822875,0.27,1.3,0.0
2009-01-15,0.0,0.28,1.02,0.0
2009-01-16,0.0,0.42,0.868,0.32
2009-01-17,2.1314442569044276,0.2,1.09,2.68
2009-01-18,6.997221973444649,0.15,2.78,6.35
2009-01-19,8.410777544309594,0.47,3.62,6.43
2009-01-20,0.46349998277693727,0.34,2.69,0.5
2009-01-21,0.0,0.2,1.49,0.0
2009-01-22,2.352110969499262,0.27,1.67,3.57
2009-01-23,24.059777992109225,0.17,16.2,19.2
2009-01-24,0.0,0.05,7.6,0.0
2009-01-25,0.0,0.7,2.63,0.15
2009-01-26,0.021166660925645748,0.36,1.73,0.38
2009-01-27,0.0,0.11,1.33,0.07
2009-01-28,0.0,0.09,1.14,0.0
2009-01-29,0.0,0.23,1.12,0.02
2009-01-30,0.0,0.73,1.03,0.02
2009-01-31,0.0,0.94,0.939,0.01
2009-02-01,0.0,1.55,0.879,0.32
2009-02-02,3.436610848937822,0.88,0.921,2.18
2009-02-03,0.021166660925645748,0.32,0.956,0.19
2009-02-04,0.0,0.26,0.864,0.11
2009-02-05,2.508888927162362,0.77,0.957,2.86
2009-02-06,1.053333218512915,0.63,0.982,0.98
2009-02-07,4.167944618588745,0.29,1.4,2.38
2009-02-08,0.0,0.49,1.09,0.11
2009-02-09,14.096722369575092,0.24,2.1,5.89
2009-02-10,7.009722404021218,0.39,10.7,6.84
2009-02-11,3.53849981054631,0.26,4.07,1.8
2009-02-12,0.47272209400608844,0.35,3.03,1.01
2009-02-13,0.0,0.06,1.95,0.04
2009-02-14,0.0,0.66,1.46,0.27
2009-02-15,1.4599444119119926,0.7,1.3,1.18
2009-02-16,2.577777854324723,0.39,1.38,1.84
2009-02-17,3.2913890132776755,0.1,2.54,1.57
2009-02-18,0.0,0.38,1.83,0.09
2009-02-19,0.20127783710166058,0.71,1.41,1.46
2009-02-20,0.17416669537177126,0.87,1.32,0.49
2009-02-21,0.0,0.71,1.2,0.02
2009-02-22,0.5958333046282287,0.47,1.13,0.26
2009-02-23,1.7079442741274906,0.28,1.12,0.57
2009-02-24,0.021166660925645748,0.56,1.09,0.01
2009-02-25,0.0,0.44,1.03,0.03
2009-02-26,0.0,0.84,1.02,0.01
2009-02-27,1.7274443257966787,0.64,1.03,0.82
2009-02-28,0.0,0.59,1.03,0.04
2009-03-01,0.0,0.89,1.0,0.37
2009-03-02,0.0,1.02,0.891,0.04
2009-03-03,0.0,1.4,0.829,0.02
2009-03-04,2.6682778026555347,0.84,0.978,1.81
2009-03-05,0.0,1.25,0.966,0.02
2009-03-06,0.0,1.86,0.82,0.01
2009-03-07,0.0,0.6,0.794,0.24
2009-03-08,2.9273890821699267,2.52,0.895,2.58
2009-03-09,8.12311052169963,2.05,1.64,3.84
2009-03-10,8.361610676707194,0.76,2.48,5.48
2009-03-11,0.0,1.28,1.56,0.05
2009-03-12,0.3104443602428043,0.82,1.29,0.17
2009-03-13,0.0,1.0,1.05,0.03
2009-03-14,0.45761109006070105,0.58,1.03,0.34
2009-03-15,0.0,1.91,0.993,0.0
2009-03-16,0.0,1.52,0.909,0.0
2009-03-17,0.0,1.7,0.846,0.0
2009-03-18,0.0,2.77,0.796,0.0
2009-03-19,0.0,2.54,0.791,0.0
2009-03-20,0.0,2.64,0.748,0.06
2009-03-21,0.0,1.92,0.725,0.01
2009-03-22,0.0,2.39,0.729,0.02
2009-03-23,6.590833821320111,1.53,1.02,5.93
2009-03-24,1.3326112622913286,1.39,1.19,1.54
2009-03-25,14.109555639757197,0.95,3.87,3.76
2009-03-26,6.427222317905905,0.39,3.24,3.93
2009-03-27,0.5052777682094096,2.27,3.01,0.82
2009-03-28,8.602944790819373,1.29,3.19,3.66
2009-03-29,0.9581666264795203,2.28,2.34,0.88
2009-03-30,0.0,2.11,1.51,0.05
2009-03-31,0.0,2.89,1.32,0.01
2009-04-01,0.0,4.01,1.21,0.05
2009-04-02,0.0,3.29,0.972,0.05
2009-04-03,0.0,1.93,0.951,0.12
2009-04-04,0.0,0.74,0.896,0.0
2009-04-05,0.0,1.65,0.85,0.0
2009-04-06,0.0,2.6,0.824,0.04
2009-04-07,1.7041666953717713,1.3,,1.35
2009-04-08,2.680166764264022,0.51,,1.7
2009-04-09,0.18650001722306275,1.15,0.847,0.06
2009-04-10,0.028222214567527666,3.24,0.786,1.21
2009-04-11,0.028222214567527666,2.99,0.758,3.99
2009-04-12,0.45155543308044266,2.25,0.774,0.94
2009-04-13,0.0,2.28,,0.02
2009-04-14,0.0,3.75,,0.04
2009-04-15,0.2187221628983394,3.96,,0.85
2009-04-16,1.9227776820940958,0.61,,2.96
2009-04-17,9.750610435584315,0.22,,5.44
2009-04-18,0.03527776820940958,2.39,,0.32
2009-04-19,0.0,2.73,,0.18
2009-04-20,0.0,3.24,,0.0
2009-04-21,0.0,2.66,,0.0
2009-04-22,0.0,3.34,,0.02
2009-04-23,0.0,3.81,,0.15
2009-04-24,0.0,4.14,,0.01
2009-04-25,0.0,2.73,,0.02
2009-04-26,2.3374443257966786,1.3,,2.03
2009-04-27,2.4884998105463096,3.01,,2.82
2009-04-28,1.3112778371016605,2.02,,1.22
2009-04-29,0.0,2.5,,0.23
2009-04-30,0.0,2.95,,0.02
2009-05-01,0.0,3.2,,0.01
2009-05-02,0.0,1.69,,0.02
2009-05-03,0.19883333907435424,2.61,,0.63
2009-05-04,0.0,2.75,,0.06
2009-05-05,1.1034443946889299,1.39,,0.32
2009-05-06,0.0,2.14,,0.0
2009-05-07,0.0,2.52,,0.01
2009-05-08,0.0,3.12,,0.08
2009-05-09,0.0,2.53,,0.7
2009-05-10,0.0,4.67,,0.04
2009-05-11,0.14111107283763832,5.11,,0.64
2009-05-12,4.715783590461979,2.17,,3.79
2009-05-13,0.9235752045089325,1.25,,2.22
2009-05-14,14.240057016028745,2.06,,8.4
2009-05-15,7.421832953482253,1.21,,6.7
2009-05-16,0.3231073872295626,1.87,,0.49
2009-05-17,0.4056631925567557,2.46,,1.07
2009-05-18,1.2549668896872748,3.0,,1.03
2009-05-19,0.0,3.28,,0.05
2009-05-20,0.0,3.18,,0.15
2009-05-21,0.0,3.26,,0.08
2009-05-22,0.0,4.21,,0.01
2009-05-23,0.24274193875139308,3.85,,2.25
2009-05-24,0.0,5.62,,0.02
2009-05-25,0.0,3.97,,0.25
2009-05-26,31.044565010574132,0.8,,28.55
2009-05-27,0.31162494114155137,1.82,,0.75
2009-05-28,0.05116267517586653,1.93,,0.16
2009-05-29,0.0,6.63,,0.01
2009-05-30,0.0,7.34,,0.0
2009-05-31,0.0,5.07,,0.01
2009-06-01,1.0641741654785328,6.6,,4.83
2009-06-02,0.0,5.55,,0.56
2009-06-03,0.0,4.67,,0.04
2009-06-04,0.0,3.42,,0.05
2009-06-05,0.013942335340104695,1.8,,0.21
2009-06-06,0.0,4.29,,0.09
2009-06-07,4.508978067714655,2.56,,3.17
2009-06-08,1.7504295714541596,2.58,,1.88
2009-06-09,15.88737549261505,1.57,,16.29
2009-06-10,10.365345519294072,1.71,,6.89
2009-06-11,1.1635690005187713,2.59,,3.64
2009-06-12,0.0,4.28,,0.02
2009-06-13,0.0,3.86,,0.05
2009-06-14,5.746214685500906,1.94,,3.99
2009-06-15,3.363795407607626,1.96,,2.12
2009-06-16,0.0,4.56,,0.01
2009-06-17,0.0,5.28,,0.04
2009-06-18,0.0,4.77,,0.19
2009-06-19,0.011153868272083756,4.43,,0.4
2009-06-20,0.002788467068020939,2.59,0.41,0.17
2009-06-21,0.763122250711192,4.07,0.481,1.38
2009-06-22,0.0,4.73,0.425,0.0
2009-06-23,0.0,6.49,0.391,0.01
2009-06-24,0.0,8.4,0.388,0.01
2009-06-25,0.0,6.21,0.386,0.02
2009-06-26,0.0,3.23,0.409,0.12
2009-06-27,10.357963220674199,3.59,0.933,11.6
2009-06-28,0.0,4.08,0.44,0.08
2009-06-29,0.0,6.18,0.437,0.01
2009-06-30,0.0,6.0,0.428,0.06
2009-07-01,0.0,5.14,0.357,0.06
2009-07-02,0.013942335340104695,5.96,0.382,0.86
2009-07-03,0.0,2.27,0.37,0.18
2009-07-04,0.0,4.47,0.38,0.02
2009-07-05,0.29528600792294357,3.91,0.365,2.76
2009-07-06,4.207181926440549,3.08,0.419,3.34
2009-07-07,8.960654136412291,3.04,0.529,10.1
2009-07-08,11.5690758632074,1.85,0.748,12.9
2009-07-09,1.5565042556992397,3.23,0.702,3.72
2009-07-10,0.0,2.64,0.408,0.12
2009-07-11,1.6126355334195077,1.32,0.45,1.33
2009-07-12,2.0992931189155146,3.27,0.442,3.48
2009-07-13,0.0,3.74,0.359,0.0
2009-07-14,0.0,3.43,0.358,0.31
2009-07-15,0.0,5.03,0.351,0.03
2009-07-16,0.0,4.78,0.394,0.01
2009-07-17,0.7803536931743237,3.04,0.344,3.76
2009-07-18,3.866203760789975,4.97,0.454,2.21
2009-07-19,6.209541196500307,2.96,0.43,5.49
2009-07-20,0.5167505138651513,3.69,0.342,0.54
2009-07-21,10.619390063657656,3.68,0.853,21.97
2009-07-22,13.528986132983743,2.84,0.693,11.37
2009-07-23,5.452852935530452,1.8,1.86,6.08
2009-07-24,7.7948681018049255,3.53,0.695,6.1
2009-07-25,0.13975193121697443,3.92,0.427,1.18
2009-07-26,0.0,4.17,0.399,0.06
2009-07-27,0.6213374685926779,1.93,0.379,2.75
2009-07-28,0.0,4.14,0.393,0.01
2009-07-29,0.0,3.99,0.339,0.08
2009-07-30,0.0,3.97,0.335,0.2
2009-07-31,0.0,3.09,0.379,0.23
2009-08-01,0.0,4.25,0.328,0.06
2009-08-02,6.9119633746859925,2.92,0.614,7.55
2009-08-03,0.0,3.18,0.354,0.03
2009-08-04,0.0,4.71,0.34,0.03
2009-08-05,0.0,2.55,0.311,0.72
2009-08-06,0.0,4.52,0.314,0.02
2009-08-07,0.3789807988923877,2.2,0.312,1.49
2009-08-08,0.0,3.04,0.312,0.03
2009-08-09,0.0,3.49,0.311,0.02
2009-08-10,0.9330894470837591,3.58,0.307,0.6
2009-08-11,1.7266158467006798,2.49,0.321,1.43
2009-08-12,1.7758656535837725,2.65,0.33,0.79
2009-08-13,10.847268126407169,1.88,1.23,7.06
2009-08-14,0.0,3.11,1.12,0.04
2009-08-15,0.0,4.84,0.575,0.02
2009-08-16,0.0,2.89,0.374,0.04
2009-08-17,0.0,2.86,0.343,0.01
2009-08-18,0.0,3.64,0.333,0.34
2009-08-19,0.0,4.28,0.327,0.07
2009-08-20,5.890064595717058,3.6,,3.6
2009-08-21,0.0,3.27,0.334,0.34
2009-08-22,0.0,3.15,0.287,0.04
2009-08-23,0.0,0.0,0.286,0.03
2009-08-24,0.0,3.34,0.28,0.25
2009-08-25,1.8608118222951835,1.35,0.283,1.61
2009-08-26,0.0,3.15,0.284,0.1
2009-08-27,0.0,2.18,0.282,0.03
2009-08-28,0.4118640049466672,0.04,0.279,0.45
2009-08-29,0.0,2.084242424242424,0.278,0.08
2009-08-30,0.0,2.23,0.276,0.18
2009-08-31,0.0,4.25,0.275,0.05
2009-09-01,3.4513365480320592,1.01,0.271,3.28
2009-09-02,1.2942979280897615,2.01,0.305,0.53
